,Club,League,Nation,Position,Wage,Age,Apps,Caps,Total Apps
145,R. Madrid,La Liga,BRA,Forward,"6,909,000",21,124,5,129
146,R. Madrid,La Liga,ESP,Defender,"6,909,000",32,360,22,382
147,A. Madrid,La Liga,ESP,Defender,"6,897,000",27,212,16,228
148,Sporting CP,Primiera Liga,POR,Forward,"6,878,000",22,140,7,147
149,FC Bayern,Bundesliga,MAR,Defender,"6,878,000",24,157,12,169
150,FC Bayern,Bundesliga,CAN,Defender,"6,878,000",21,169,32,201
151,Man UFC,Premier League,BRA,Midfilder,"6,760,000",29,239,28,267
152,Everton,Premier League,SEN,Midfilder,"6,760,000",32,343,88,431
153,Liverpool,Premier League,GUI,Midfilder,"6,760,000",27,216,50,266
154,Man City,Premier League,ESP,Defender,"6,760,000",28,310,15,325
155,West Ham,Premier League,BRA,Midfilder,"6,760,000",25,155,35,190
156,Crystal Palace,Premier League,CIV,Midfilder,"6,760,000",29,411,26,437
157,R. Madrid,La Liga,ESP,Midfilder,"6,725,000",26,198,11,209
158,AS Monaco,Ligue 1 Uber Eats,FRA,Forward,"6,706,000",32,378,19,397
159,R. Madrid,La Liga,FRA,Midfilder,"6,665,000",19,102,3,105
160,Juventus,Serie A,ARG,Midfilder,"6,630,000",34,461,122,583
161,Liverpool,Premier League,BRA,Midfilder,"6,552,000",26,132,22,154
162,Aston Villa,Premier League,BRA,Midfilder,"6,500,000",30,332,63,395
163,West Ham,Premier League,ENG,Forward,"6,500,000",30,311,3,314
164,Liverpool,Premier League,ENG,Midfilder,"6,500,000",29,255,35,290
165,OGC Nice,Ligue 1 Uber Eats,WAL,Midfilder,"6,483,000",31,354,75,429
166,Barcelona,La Liga,URU,Defender,"6,466,000",23,150,11,161
167,Barcelona,La Liga,ESP,Midfilder,"6,466,000",18,41,10,51
168,RB Leipzig,Bundesliga,FRA,Midfilder,"6,448,000",24,156,6,162
169,FC Bayern,Bundesliga,CMR,Forward,"6,448,000",33,345,68,413
170,Lazio,Serie A,ITA,Forward,"6,388,000",32,384,55,439
171,Capitoline,Serie A,ITA,Midfilder,"6,379,000",26,201,23,224
172,Milan,Serie A,ALG,Midfilder,"6,335,000",24,184,40,224
173,Everton,Premier League,MLI,Midfilder,"6,240,000",29,278,2,280
174,Nottm Forest,Premier League,ENG,Goalkeeper,"6,240,000",25,149,1,150
175,Chelsea,Premier League,FRA,Defender,"6,240,000",21,106,0,106
176,Everton,Premier League,COL,Defender,"6,240,000",27,193,39,232
177,Man City,Premier League,ENG,Forward,"6,240,000",22,104,16,120
178,Man UFC,Premier League,ARG,Defender,"6,240,000",24,127,7,134
179,LOSC,Ligue 1 Uber Eats,POR,Midfilder,"6,240,000",29,233,29,262
180,Arsenal,Premier League,UKR,Defender,"6,240,000",25,132,52,184
181,Arsenal,Premier League,NOR,Midfilder,"6,240,000",23,242,43,285
182,West Ham,Premier League,FRA,Goalkeeper,"6,240,000",29,220,3,223
183,Arsenal,Premier League,BRA,Forward,"6,240,000",25,212,56,268
184,Aston Villa,Premier League,FRA,Defender,"6,240,000",29,274,46,320
185,Leicester,Premier League,BEL,Midfilder,"6,240,000",25,313,52,365
186,Leicester,Premier League,POR,Defender,"6,240,000",28,234,7,241
187,Tottenham,Premier League,FRA,Goalkeeper,"6,240,000",35,559,139,698
188,Bayer 04,Bundesliga,ENG,Defender,"6,240,000",21,78,3,81
189,Liverpool,Premier League,ENG,Defender,"6,240,000",36,601,61,662
190,Newcastle,Premier League,SWE,Forward,"6,240,000",22,165,37,202
191,Parthenope,Serie A,FRA,Midfilder,"6,240,000",25,165,7,172
192,R. Madrid,La Liga,FRA,Midfilder,"6,190,000",22,104,12,116
193,R. Madrid,La Liga,ESP,Forward,"6,141,000",26,269,29,298
194,Inter,Serie A,NED,Defender,"6,069,000",30,358,57,415
195,FC Bayern,Bundesliga,FRA,Defender,"6,018,000",26,191,45,236
196,Borussia Dortmund,Bundesliga,GER,Midfilder,"6,014,000",26,267,38,305
197,Arsenal,Premier League,BEL,Defender,"5,720,000",27,290,19,309
198,Leicester,Premier League,ENG,Midfilder,"5,720,000",25,236,1,237
199,Everton,Premier League,ENG,Goalkeeper,"5,720,000",28,334,45,379
200,Wolves,Premier League,ESP,Midfilder,"5,720,000",30,372,22,394
201,Arsenal,Premier League,ITA,Midfilder,"5,720,000",30,395,44,439
202,Arsenal,Premier League,SCO,Defender,"5,720,000",25,170,32,202
203,Liverpool,Premier League,NED,Midfilder,"5,720,000",23,131,7,138
204,Man UFC,Premier League,ENG,Defender,"5,720,000",30,204,27,231
205,Arsenal,Premier League,SUI,Midfilder,"5,720,000",29,383,104,487
206,Man City,Premier League,NED,Defender,"5,720,000",27,182,27,209
207,Tottenham,Premier League,DEN,Midfilder,"5,720,000",27,287,58,345
208,Chelsea,Premier League,ESP,Defender,"5,720,000",24,190,1,191
209,OGC Nice,Ligue 1 Uber Eats,ENG,Midfilder,"5,604,000",28,249,33,282
210,Sevilla,La Liga,CRO,Midfilder,"5,604,000",34,545,106,651
211,A. Madrid,La Liga,CTA,Midfilder,"5,588,000",29,307,13,320
212,Milan,Serie A,ESP,Forward,"5,588,000",23,81,1,82
213,Parthenope,Serie A,POL,Midfilder,"5,587,000",28,300,72,372
214,Juventus,Serie A,ITA,Defender,"5,587,000",28,186,7,193
215,Inter,Serie A,ARG,Forward,"5,587,000",28,250,17,267
216,A. Madrid,La Liga,FRA,Defender,"5,582,000",26,229,27,256
217,Real Hispalis,La Liga,FRA,Forward,"5,527,000",29,248,25,273
218,R. Madrid,La Liga,DOM,Forward,"5,527,000",29,179,1,180
219,R. Madrid,La Liga,ESP,Defender,"5,527,000",26,198,4,202
220,R. Madrid,La Liga,ESP,Defender,"5,527,000",31,340,9,349
221,OGC Nice,Ligue 1 Uber Eats,CIV,Forward,"5,460,000",27,240,32,272
222,A. Madrid,La Liga,BEL,Defender,"5,380,000",33,446,124,570
223,Bournemouth,Premier League,BRA,Goalkeeper,"5,200,000",33,205,1,206
224,Chelsea,Premier League,ENG,Midfilder,"5,200,000",20,58,0,58
225,Leicester,Premier League,NIR,Defender,"5,200,000",34,378,98,476
226,Southampton,Premier League,ENG,Midfilder,"5,200,000",27,312,11,323
227,Tottenham,Premier League,ENG,Defender,"5,200,000",28,286,45,331
228,Newcastle,Premier League,ENG,Goalkeeper,"5,200,000",30,257,8,265
229,Leicester,Premier League,ENG,Defender,"5,200,000",24,141,1,142
230,Man UFC,Premier League,ENG,Defender,"5,200,000",24,132,0,132
231,Leicester,Premier League,ENG,Midfilder,"5,200,000",24,189,1,190
232,OL,Ligue 1 Uber Eats,FRA,Defender,"5,200,000",19,32,0,32
233,Newcastle,Premier League,ENG,Defender,"5,200,000",31,361,37,398
234,Wolves,Premier League,MEX,Forward,"5,200,000",31,370,96,466
235,Tottenham,Premier League,MLI,Midfilder,"5,200,000",26,164,26,190
236,Everton,Premier League,NGA,Midfilder,"5,200,000",26,190,58,248
237,Arsenal,Premier League,BRA,Defender,"5,200,000",24,134,0,134
238,Wolves,Premier League,POR,Midfilder,"5,200,000",35,555,146,701
239,Wolves,Premier League,POR,Midfilder,"5,200,000",24,100,8,108
240,Nottm Forest,Premier League,ENG,Midfilder,"5,200,000",29,219,32,251
241,Tottenham,Premier League,WAL,Defender,"5,200,000",29,254,74,328
242,Aston Villa,Premier League,ARG,Goalkeeper,"5,200,000",30,152,17,169
243,Aston Villa,Premier League,BRA,Defender,"5,200,000",29,252,0,252
244,West Ham,Premier League,FRA,Defender,"5,200,000",27,265,11,276
245,Chelsea,Premier League,MAR,Midfilder,"5,200,000",29,265,40,305
246,Sevilla,La Liga,BRA,Defender,"5,200,000",29,271,6,277
247,Tottenham,Premier League,URU,Midfilder,"5,200,000",25,207,49,256
248,Villarreal,La Liga,ARG,Midfilder,"5,200,000",26,183,39,222
249,OM,Ligue 1 Uber Eats,CIV,Defender,"5,200,000",28,137,46,183
250,Chelsea,Premier League,ENG,Midfilder,"5,200,000",18,14,0,14
251,Leeds,Premier League,ESP,Forward,"5,200,000",31,342,27,369
252,Barcelona,La Liga,ESP,Defender,"5,200,000",31,303,9,312
253,Aston Villa,Premier League,FRA,Midfilder,"5,200,000",22,137,3,140
254,A. Bilbao,La Liga,ESP,Midfilder,"5,173,000",33,388,2,390
255,Borussia Dortmund,Bundesliga,GER,Forward,"5,159,000",20,108,4,112
256,Sampdoria,Serie A,VEN,Midfilder,"5,159,000",34,410,118,528
257,Chelsea,Premier League,BRA,Defender,"5,155,000",37,481,109,590
258,Borussia Dortmund,Bundesliga,GER,Defender,"5,155,000",29,231,12,243
259,Lazio,Serie A,SRB,Midfilder,"5,112,000",27,272,34,306
260,Milan,Serie A,FRA,Midfilder,"5,043,000",28,217,1,218
261,A. Madrid,La Liga,ARG,Midfilder,"4,999,000",28,318,41,359
262,Parthenope,Serie A,NGA,Forward,"4,974,000",23,127,23,150
263,Capitoline,Serie A,ENG,Forward,"4,974,000",24,208,11,219
264,Parthenope,Serie A,MEX,Forward,"4,974,000",27,272,58,330
265,Tottenham,Premier League,FRA,Defender,"4,958,000",27,239,15,254
266,Liverpool,Premier League,ENG,Defender,"4,940,000",25,115,11,126
267,West Ham,Premier League,ITA,Defender,"4,940,000",28,125,27,152
268,West Ham,Premier League,GER,Defender,"4,940,000",25,155,20,175
269,Bayer 04,Bundesliga,CZE,Forward,"4,931,000",26,193,33,226
270,Lazio,Serie A,ITA,Defender,"4,793,000",27,244,12,256
271,Fiorentina,Serie A,SRB,Defender,"4,793,000",24,209,37,246
272,Capitoline,Serie A,ITA,Defender,"4,793,000",29,282,29,311
273,Sassuolo,Serie A,ITA,Forward,"4,793,000",28,313,24,337
274,Inter,Serie A,SVK,Defender,"4,793,000",27,298,54,352
275,Capitoline,Serie A,ITA,Defender,"4,793,000",29,204,20,224
276,OM,Ligue 1 Uber Eats,FRA,Midfilder,"4,785,000",29,363,5,368
277,Juventus,Serie A,ITA,Midfilder,"4,785,000",24,179,24,203
278,Capitoline,Serie A,ITA,Midfilder,"4,785,000",27,211,27,238
279,AS Monaco,Ligue 1 Uber Eats,GER,Goalkeeper,"4,742,000",25,141,0,141
280,FC Bayern,Bundesliga,GER,Midfilder,"4,729,000",19,74,15,89
281,OL,Ligue 1 Uber Eats,FRA,Forward,"4,680,000",31,367,16,383
282,Newcastle,Premier League,ENG,Forward,"4,680,000",30,284,4,288
283,Newcastle,Premier League,NED,Defender,"4,680,000",22,122,0,122
284,Benfica,Primiera Liga,POR,Midfilder,"4,680,000",25,236,32,268
285,Liverpool,Premier League,COL,Forward,"4,680,000",25,197,37,234
286,Sampdoria,Serie A,ENG,Midfilder,"4,680,000",26,130,10,140
287,Leicester,Premier League,NGA,Forward,"4,680,000",25,174,43,217
288,Arsenal,Premier League,ENG,Defender,"4,680,000",24,177,4,181
289,Everton,Premier League,ENG,Defender,"4,680,000",29,347,2,349
290,Newcastle,Premier League,FRA,Midfilder,"4,680,000",25,212,0,212
291,Man City,Premier League,SUI,Defender,"4,680,000",27,200,41,241
292,Tottenham,Premier League,BRA,Midfilder,"4,680,000",30,365,36,401
293,Newcastle,Premier League,ENG,Forward,"4,680,000",21,76,0,76
294,Fulham,Premier League,FRA,Defender,"4,643,000",30,182,13,195
295,RB Leipzig,Bundesliga,SEN,Defender,"4,643,000",26,154,17,171
296,Salento,Serie A,FRA,Defender,"4,595,000",28,227,31,258
297,PSG,Ligue 1 Uber Eats,ESP,Defender,"4,594,000",25,222,9,231
298,Sevilla,La Liga,SRB,Defender,"4,559,000",30,327,48,375
299,Real San Sebastian,La Liga,ESP,Midfilder,"4,483,000",36,562,125,687
300,Inter,Serie A,ITA,Defender,"4,474,000",23,124,15,139
301,Juventus,Serie A,BRA,Defender,"4,423,000",31,312,45,357
302,Milan,Serie A,BEL,Forward,"4,423,000",27,209,32,241
303,Milan,Serie A,FRA,Defender,"4,423,000",24,180,7,187
304,Fulham,Premier League,GER,Goalkeeper,"4,420,000",30,398,9,407
305,Crystal Palace,Premier League,FRA,Forward,"4,420,000",24,162,0,162
306,Aston Villa,Premier League,JAM,Midfilder,"4,420,000",25,200,17,217
307,Wolves,Premier League,POR,Defender,"4,420,000",28,309,24,333
308,Everton,Premier League,ENG,Forward,"4,368,000",25,200,11,211
309,A. Bilbao,La Liga,ESP,Defender,"4,311,000",31,400,19,419
310,Salernitana,Serie A,POL,Forward,"4,311,000",27,300,23,323
311,Bayer 04,Bundesliga,GER,Midfilder,"4,311,000",29,246,2,248
312,A. Madrid,La Liga,ARG,Midfilder,"4,311,000",27,290,20,310
313,A. Madrid,La Liga,URU,Defender,"4,311,000",27,195,78,273
314,Bayer 04,Bundesliga,CHI,Midfilder,"4,299,000",33,437,97,534
315,FC Bayern,Bundesliga,SUI,Goalkeeper,"4,299,000",33,504,74,578
316,Borussia Dortmund,Bundesliga,FRA,Forward,"4,299,000",34,403,0,403
317,OL,Ligue 1 Uber Eats,GER,Defender,"4,299,000",34,378,76,454
318,OM,Ligue 1 Uber Eats,MAR,Midfilder,"4,299,000",25,161,14,175
319,RB Leipzig,Bundesliga,GER,Defender,"4,299,000",26,193,18,211
320,OL,Ligue 1 Uber Eats,FRA,Midfilder,"4,299,000",28,193,28,221
321,Borussia Dortmund,Bundesliga,POR,Defender,"4,296,000",28,275,56,331
322,Bayer 04,Bundesliga,GER,Midfilder,"4,259,000",32,310,11,321
323,Capitoline,Serie A,ENG,Defender,"4,199,000",32,308,31,339
324,Inter,Serie A,ARM,Midfilder,"4,199,000",33,438,94,532
325,A. Madrid,La Liga,ESP,Defender,"4,160,000",25,180,6,186
326,West Ham,Premier League,ESP,Midfilder,"4,160,000",26,274,6,280
327,Nottm Forest,Premier League,ENG,Midfilder,"4,160,000",30,364,6,370
328,Leicester,Premier League,NGA,Midfilder,"4,160,000",25,235,48,283
329,Leicester,Premier League,FRA,Midfilder,"4,160,000",23,103,0,103
330,Newcastle,Premier League,ENG,Defender,"4,160,000",26,159,0,159
331,Chelsea,Premier League,ENG,Defender,"4,160,000",23,133,0,133
332,Newcastle,Premier League,ENG,Midfilder,"4,160,000",23,89,0,89
333,Nottm Forest,Premier League,NZL,Forward,"4,160,000",30,454,70,524
334,Brighton,Premier League,ENG,Defender,"4,160,000",30,349,1,350
335,Man UFC,Premier League,SCO,Defender,"4,160,000",25,126,34,160
336,Aston Villa,Premier League,ENG,Defender,"4,160,000",37,524,39,563
337,West Ham,Premier League,ENG,Midfilder,"4,160,000",25,227,4,231
338,Arsenal,Premier League,ENG,Goalkeeper,"4,160,000",24,156,3,159
339,Sevilla,La Liga,ESP,Midfilder,"4,160,000",21,92,4,96
340,Newcastle,Premier League,BRA,Midfilder,"4,160,000",26,214,0,214
341,Arsenal,Premier League,POR,Midfilder,"4,160,000",22,88,0,88
342,Crystal Palace,Premier League,SRB,Midfilder,"4,160,000",31,342,39,381
343,Man City,Premier League,ARG,Forward,"4,160,000",22,81,9,90
344,Real Hispalis,La Liga,ESP,Midfilder,"4,160,000",29,325,0,325
345,Leicester,Premier League,ENG,Defender,"4,160,000",33,408,19,427
346,Leicester,Premier League,ZAM,Forward,"4,160,000",23,138,31,169
347,Aston Villa,Premier League,ARG,Midfilder,"4,160,000",25,262,1,263
348,Hertha Berlin,Bundesliga,FRA,Midfilder,"4,138,000",25,194,0,194
349,AS Monaco,Ligue 1 Uber Eats,GER,Midfilder,"4,127,000",30,386,14,400
350,PSG,Ligue 1 Uber Eats,POR,Midfilder,"4,091,000",22,78,3,81
351,Valencia,La Liga,BRA,Defender,"4,056,000",31,315,0,315
352,AS Monaco,Ligue 1 Uber Eats,JPN,Forward,"4,035,000",27,244,42,286
353,Chelsea,Premier League,ENG,Midfilder,"4,004,000",23,175,31,206
354,Inter,Serie A,SVN,Goalkeeper,"3,992,000",38,598,81,679
355,Milan,Serie A,ITA,Midfilder,"3,992,000",22,153,11,164
356,Lazio,Serie A,ESP,Midfilder,"3,992,000",29,322,1,323
357,Tottenham,Premier League,SWE,Midfilder,"3,987,000",22,118,25,143
358,AS Monaco,Ligue 1 Uber Eats,RUS,Midfilder,"3,955,000",26,192,45,237
359,A. Bilbao,La Liga,ESP,Defender,"3,910,000",32,323,0,323
360,Aston Villa,Premier League,BEL,Defender,"3,900,000",27,244,29,273
361,Leicester,Premier League,DEN,Defender,"3,900,000",30,291,35,326
362,Newcastle,Premier League,PAR,Midfilder,"3,900,000",28,252,44,296
363,Tottenham,Premier League,COL,Defender,"3,900,000",26,185,51,236
364,Crystal Palace,Premier League,DEN,Defender,"3,900,000",26,219,17,236
365,Wolves,Premier League,ESP,Defender,"3,900,000",28,316,3,319
366,Arsenal,Premier League,ENG,Forward,"3,900,000",23,82,0,82
