,Club,League,Nation,Position,Wage,Age,Apps,Caps,Total Apps
367,Leicester,Premier League,ENG,Midfilder,"3,900,000",23,83,0,83
368,Chelsea,Premier League,ALB,Forward,"3,900,000",20,69,14,83
369,Tottenham,Premier League,ENG,Goalkeeper,"3,900,000",34,353,6,359
370,Tottenham,Premier League,BRA,Defender,"3,900,000",23,136,7,143
371,Everton,Premier League,ENG,Midfilder,"3,900,000",22,140,0,140
372,Leeds,Premier League,ENG,Forward,"3,900,000",29,285,1,286
373,Leicester,Premier League,BEL,Midfilder,"3,900,000",28,305,15,320
374,A. Madrid,La Liga,IRL,Defender,"3,900,000",30,322,29,351
375,Sevilla,La Liga,ESP,Defender,"3,880,000",36,600,46,646
376,RB Leipzig,Bundesliga,AUT,Midfilder,"3,877,000",24,186,29,215
377,Milan,Serie A,CRO,Forward,"3,871,000",28,239,42,281
378,Milan,Serie A,FRA,Forward,"3,871,000",35,478,112,590
379,Milan,Serie A,ENG,Defender,"3,871,000",24,147,3,150
380,A. Madrid,La Liga,MNE,Defender,"3,869,000",31,321,62,383
381,Barcelona,La Liga,ESP,Defender,"3,869,000",30,312,11,323
382,Borussia M'gladbach,Bundesliga,FRA,Forward,"3,869,000",25,188,4,192
383,PSG,Ligue 1 Uber Eats,POR,Defender,"3,869,000",30,294,61,355
384,Bayer 04,Bundesliga,GER,Midfilder,"3,869,000",19,60,4,64
385,Capitoline,Serie A,ITA,Forward,"3,828,000",28,333,44,377
386,Capitoline,Serie A,SRB,Midfilder,"3,786,000",34,419,48,467
387,Everton,Premier League,ENG,Defender,"3,770,000",25,157,0,157
388,Parthenope,Serie A,ITA,Defender,"3,673,000",29,324,21,345
389,Nottm Forest,Premier League,BRA,Defender,"3,640,000",33,264,2,266
390,West Ham,Premier League,ITA,Forward,"3,640,000",23,132,7,139
391,Leeds,Premier League,COL,Midfilder,"3,640,000",23,126,7,133
392,Torino,Serie A,CRO,Forward,"3,640,000",24,208,39,247
393,Aston Villa,Premier League,ENG,Midfilder,"3,640,000",21,69,0,69
394,Crystal Palace,Premier League,ESP,Goalkeeper,"3,640,000",35,385,0,385
395,Aston Villa,Premier League,SCO,Midfilder,"3,640,000",27,331,48,379
396,Leicester,Premier League,BEL,Defender,"3,640,000",26,215,24,239
397,Southampton,Premier League,ENG,Midfilder,"3,640,000",33,401,47,448
398,West Ham,Premier League,ARG,Midfilder,"3,640,000",29,310,5,315
399,Everton,Premier League,IRL,Defender,"3,640,000",33,373,65,438
400,Liverpool,Premier League,FRA,Defender,"3,640,000",23,89,2,91
401,Crystal Palace,Premier League,ENG,Defender,"3,640,000",31,343,14,357
402,Aston Villa,Premier League,ENG,Defender,"3,640,000",24,209,0,209
403,Everton,Premier League,ENG,Defender,"3,640,000",29,306,12,318
404,West Ham,Premier League,JAM,Midfilder,"3,640,000",32,413,6,419
405,Aston Villa,Premier League,ENG,Defender,"3,640,000",29,211,17,228
406,Southampton,Premier League,CRO,Midfilder,"3,640,000",29,366,19,385
407,RB Leipzig,Bundesliga,POR,Forward,"3,586,000",26,272,51,323
408,Spezia,Serie A,ITA,Defender,"3,509,000",28,159,2,161
409,Parthenope,Serie A,ITA,Forward,"3,509,000",29,332,7,339
410,Brighton,Premier League,ENG,Midfilder,"3,484,000",34,427,34,461
411,PSG,Ligue 1 Uber Eats,POR,Midfilder,"3,476,000",25,177,32,209
412,Milan,Serie A,USA,Defender,"3,449,000",21,92,17,109
413,RB Leipzig,Bundesliga,ESP,Midfilder,"3,448,000",24,175,24,199
414,Getafe,La Liga,ESP,Midfilder,"3,448,000",24,170,0,170
415,Mallorca,La Liga,KOS,Forward,"3,448,000",28,275,42,317
416,Nottm Forest,Premier League,BRA,Defender,"3,448,000",24,119,15,134
417,VfL Wolfsburg,Bundesliga,GER,Midfilder,"3,439,000",28,293,3,296
418,VfL Wolfsburg,Bundesliga,FRA,Defender,"3,439,000",22,92,0,92
419,Hoffenheim,Bundesliga,GER,Defender,"3,439,000",32,373,28,401
420,Bayer 04,Bundesliga,FIN,Goalkeeper,"3,439,000",32,384,78,462
421,Hoffenheim,Bundesliga,DEN,Midfilder,"3,439,000",31,311,69,380
422,Sevilla,La Liga,FRA,Defender,"3,439,000",20,33,0,33
423,SV Werder,Bundesliga,GER,Forward,"3,439,000",28,227,0,227
424,Getafe,La Liga,MAR,Forward,"3,439,000",27,203,11,214
425,Borussia Dortmund,Bundesliga,TUR,Midfilder,"3,439,000",24,166,5,171
426,Borussia Dortmund,Bundesliga,NED,Forward,"3,439,000",23,135,18,153
427,Wolves,Premier League,BRA,Forward,"3,439,000",23,139,7,146
428,Borussia M'gladbach,Bundesliga,GER,Midfilder,"3,439,000",26,260,6,266
429,Borussia M'gladbach,Bundesliga,GER,Midfilder,"3,439,000",30,283,14,297
430,VfL Wolfsburg,Bundesliga,BEL,Goalkeeper,"3,439,000",30,262,4,266
431,Hoffenheim,Bundesliga,CRO,Forward,"3,439,000",31,342,71,413
432,RB Leipzig,Bundesliga,SWE,Midfilder,"3,437,000",30,362,74,436
433,Borussia Dortmund,Bundesliga,GER,Midfilder,"3,437,000",26,172,2,174
434,Brighton,Premier League,GER,Midfilder,"3,432,000",31,385,0,385
435,Juventus,Serie A,POL,Forward,"3,404,000",28,262,62,324
436,Liverpool,Premier League,GRE,Defender,"3,380,000",26,128,22,150
437,Leeds,Premier League,ESP,Midfilder,"3,380,000",25,177,0,177
438,Liverpool,Premier League,ENG,Midfilder,"3,380,000",21,45,0,45
439,Aston Villa,Premier League,ESP,Defender,"3,380,000",29,322,0,322
440,Southampton,Premier League,ENG,Defender,"3,380,000",25,132,5,137
441,Fulham,Premier League,SRB,Forward,"3,380,000",27,357,74,431
442,Wolves,Premier League,ENG,Defender,"3,380,000",32,464,0,464
443,Aston Villa,Premier League,POL,Defender,"3,380,000",25,214,7,221
444,Fulham,Premier League,POR,Defender,"3,380,000",31,257,34,291
445,West Ham,Premier League,CIV,Defender,"3,380,000",25,241,28,269
446,Everton,Premier League,ENG,Defender,"3,380,000",24,172,2,174
447,Nottm Forest,Premier League,SEN,Defender,"3,380,000",26,235,0,235
448,Newcastle,Premier League,SCO,Midfilder,"3,380,000",28,273,22,295
449,Man UFC,Premier League,ENG,Goalkeeper,"3,380,000",36,347,3,350
450,Arsenal,Premier League,JPN,Defender,"3,380,000",23,170,28,198
451,West Ham,Premier League,MAR,Defender,"3,380,000",26,168,25,193
452,Fulham,Premier League,FRA,Defender,"3,380,000",25,187,0,187
453,West Ham,Premier League,ITA,Defender,"3,380,000",34,388,13,401
454,Aston Villa,Premier League,BRA,Midfilder,"3,380,000",24,173,9,182
455,Capitoline,Serie A,NED,Defender,"3,370,000",27,178,3,181
456,OGC Nice,Ligue 1 Uber Eats,DEN,Goalkeeper,"3,362,000",35,579,84,663
457,Parthenope,Serie A,POR,Defender,"3,354,000",31,314,11,325
458,OM,Ligue 1 Uber Eats,ESP,Goalkeeper,"3,353,000",27,223,2,225
459,Parthenope,Serie A,KOR,Defender,"3,319,000",25,149,42,191
460,Inter,Serie A,CMR,Goalkeeper,"3,319,000",26,191,30,221
461,Bologna,Serie A,AUT,Forward,"3,319,000",33,393,102,495
462,Parthenope,Serie A,GER,Midfilder,"3,319,000",30,334,1,335
463,VfL Wolfsburg,Bundesliga,GER,Forward,"3,267,000",26,158,7,165
464,OL,Ligue 1 Uber Eats,POR,Goalkeeper,"3,267,000",31,319,14,333
465,RB Leipzig,Bundesliga,GER,Defender,"3,224,000",24,147,9,156
466,OL,Ligue 1 Uber Eats,FRA,Midfilder,"3,198,000",24,168,1,169
467,Sampdoria,Serie A,ITA,Defender,"3,190,000",28,146,1,147
468,Lazio,Serie A,ALB,Defender,"3,190,000",28,307,71,378
469,Sassuolo,Serie A,ITA,Forward,"3,190,000",23,111,0,111
470,Lazio,Serie A,ITA,Forward,"3,190,000",27,218,0,218
471,Inter,Serie A,ITA,Defender,"3,190,000",33,384,6,390
472,Capitoline,Serie A,ITA,Defender,"3,190,000",26,168,9,177
473,Sevilla,La Liga,ARG,Midfilder,"3,190,000",34,509,14,523
474,Brianza,Serie A,ITA,Midfilder,"3,190,000",27,197,9,206
475,Atalanta,Serie A,TUR,Defender,"3,190,000",24,124,35,159
476,Milan,Serie A,ITA,Defender,"3,190,000",31,318,49,367
477,Milan,Serie A,ITA,Defender,"3,190,000",25,153,7,160
478,Barcelona,La Liga,ESP,Forward,"3,138,000",22,134,28,162
479,Villarreal,La Liga,FRA,Midfilder,"3,138,000",31,260,0,260
480,Nottm Forest,Premier League,GHA,Forward,"3,120,000",32,442,107,549
481,Nottm Forest,Premier League,BRA,Forward,"3,120,000",28,248,1,249
482,Leeds,Premier League,USA,Defender,"3,120,000",23,167,30,197
483,Fulham,Premier League,POR,Midfilder,"3,120,000",27,191,14,205
484,Leeds,Premier League,ENG,Midfilder,"3,120,000",25,215,0,215
485,Crystal Palace,Premier League,GHA,Midfilder,"3,120,000",29,285,19,304
486,Strasbourg,Ligue 1 Uber Eats,FRA,Midfilder,"3,120,000",28,272,0,272
487,Leicester,Premier League,AUS,Defender,"3,120,000",23,121,5,126
488,West Ham,Premier League,POL,Goalkeeper,"3,120,000",37,394,57,451
489,West Ham,Premier League,ENG,Defender,"3,120,000",23,175,32,207
490,Southampton,Premier League,NGA,Midfilder,"3,120,000",26,203,20,223
491,Liverpool,Premier League,ESP,Goalkeeper,"3,120,000",35,233,0,233
492,Wolves,Premier League,ESP,Forward,"3,120,000",33,394,24,418
493,Southampton,Premier League,SCO,Midfilder,"3,120,000",30,348,36,384
494,Brighton,Premier League,ARG,Midfilder,"3,120,000",23,148,5,153
495,Aston Villa,Premier League,BFA,Midfilder,"3,120,000",26,227,64,291
496,Brighton,Premier League,ECU,Defender,"3,120,000",24,202,31,233
497,Wolves,Premier League,POR,Midfilder,"3,120,000",25,250,30,280
498,Everton,Premier League,ENG,Defender,"3,120,000",29,365,10,375
499,Southampton,Premier League,POL,Defender,"3,120,000",26,208,42,250
500,Leeds,Premier League,FRA,Forward,"3,120,000",20,67,0,67
501,Fulham,Premier League,SRB,Midfilder,"3,120,000",26,217,30,247
502,West Ham,Premier League,ALG,Forward,"3,120,000",27,228,17,245
503,Leicester,Premier League,BEL,Defender,"3,120,000",24,162,1,163
504,Tottenham,Premier League,ENG,Defender,"3,120,000",22,154,0,154
505,Southampton,Premier League,NOR,Midfilder,"3,120,000",28,301,45,346
506,Benfica,Primiera Liga,GER,Midfilder,"3,095,000",28,292,58,350
507,AS Monaco,Ligue 1 Uber Eats,POR,Midfilder,"3,095,000",27,237,21,258
508,Milan,Serie A,FRA,Goalkeeper,"3,095,000",27,185,4,189
509,RB Leipzig,Bundesliga,CRO,Defender,"3,071,000",20,76,10,86
510,Lazio,Serie A,URU,Midfilder,"3,035,000",31,269,60,329
511,Hoffenheim,Bundesliga,ISR,Forward,"3,017,000",30,309,40,349
512,Milan,Serie A,FRA,Defender,"3,017,000",22,45,0,45
513,Valencia,La Liga,ESP,Defender,"3,016,000",27,304,17,321
514,Arsenal,Premier League,POL,Defender,"3,016,000",22,91,2,93
515,Bayer 04,Bundesliga,GER,Defender,"3,009,000",26,245,16,261
516,VfL Wolfsburg,Bundesliga,GER,Forward,"3,009,000",23,128,6,134
517,RB Leipzig,Bundesliga,HUN,Defender,"3,009,000",29,290,33,323
518,Borussia M'gladbach,Bundesliga,FRA,Forward,"3,009,000",29,263,1,264
519,Borussia M'gladbach,Bundesliga,GER,Forward,"3,009,000",34,434,11,445
520,VfL Wolfsburg,Bundesliga,GER,Defender,"3,009,000",28,233,1,234
521,AS Monaco,Ligue 1 Uber Eats,SUI,Midfilder,"3,009,000",25,212,56,268
522,Borussia Dortmund,Bundesliga,GER,Defender,"3,007,000",27,198,0,198
523,Girona,La Liga,ESP,Defender,"3,007,000",32,429,0,429
524,RB Leipzig,Bundesliga,HUN,Goalkeeper,"3,007,000",32,335,49,384
525,RB Leipzig,Bundesliga,MLI,Midfilder,"2,994,000",24,157,32,189
526,OL,Ligue 1 Uber Eats,BRA,Defender,"2,923,000",30,288,0,288
527,RB Leipzig,Bundesliga,DEN,Midfilder,"2,911,000",28,296,68,364
528,Inter,Serie A,ITA,Defender,"2,871,000",34,411,25,436
529,Valencia,La Liga,NED,Midfilder,"2,871,000",23,162,2,164
530,Brianza,Serie A,ITA,Forward,"2,871,000",27,249,1,250
531,Atalanta,Serie A,COL,Forward,"2,871,000",31,353,34,387
532,Wolves,Premier League,KOR,Midfilder,"2,860,000",26,193,47,240
533,Brighton,Premier League,ENG,Defender,"2,860,000",27,275,0,275
534,Wolves,Premier League,BRA,Midfilder,"2,860,000",21,59,0,59
535,Fulham,Premier League,BRA,Forward,"2,860,000",27,134,0,134
536,West Ham,Premier League,CZE,Defender,"2,860,000",30,275,30,305
537,Arsenal,Premier League,ENG,Forward,"2,860,000",22,77,3,80
538,Crystal Palace,Premier League,SCO,Midfilder,"2,860,000",34,533,32,565
539,Leeds,Premier League,NIR,Defender,"2,860,000",31,407,62,469
540,Newcastle,Premier League,ENG,Defender,"2,860,000",28,261,0,261
541,Chelsea,Premier League,CIV,Forward,"2,860,000",19,44,0,44
542,Leicester,Premier League,GHA,Defender,"2,860,000",27,169,44,213
543,Fulham,Premier League,IRL,Defender,"2,860,000",30,286,55,341
544,Leeds,Premier League,ESP,Defender,"2,860,000",26,160,0,160
545,Capitoline,Serie A,POR,Goalkeeper,"2,852,000",34,481,104,585
546,Bayer 04,Bundesliga,IRN,Forward,"2,837,000",27,221,63,284
547,Eintracht Frankfurt,Bundesliga,GER,Goalkeeper,"2,802,000",32,355,6,361
548,Eintracht Frankfurt,Bundesliga,GER,Midfilder,"2,802,000",30,285,63,348
549,Capitoline,Serie A,ALB,Defender,"2,800,000",22,64,15,79
550,OM,Ligue 1 Uber Eats,FRA,Forward,"2,786,000",35,544,38,582
551,Fiorentina,Serie A,ARG,Midfilder,"2,767,000",24,155,21,176
552,Lazio,Serie A,ESP,Forward,"2,767,000",35,483,65,548
553,Leeds,Premier League,USA,Midfilder,"2,767,000",24,137,35,172
554,Juventus,Serie A,SRB,Defender,"2,767,000",29,344,48,392
555,Inter,Serie A,NED,Defender,"2,767,000",26,224,34,258
556,Vallecano,La Liga,ESP,Forward,"2,761,000",27,295,4,299
557,OL,Ligue 1 Uber Eats,FRA,Forward,"2,751,000",26,228,0,228
558,VfL Wolfsburg,Bundesliga,FRA,Defender,"2,751,000",31,309,7,316
559,1. FC Koln,Bundesliga,GER,Goalkeeper,"2,749,000",29,334,0,334
560,Bayer 04,Bundesliga,ARG,Midfilder,"2,735,000",23,87,20,107
561,OM,Ligue 1 Uber Eats,TUR,Midfilder,"2,732,000",25,203,42,245
562,Nottm Forest,Premier League,CIV,Defender,"2,718,000",29,273,79,352
563,Verona,Serie A,ITA,Forward,"2,711,000",30,292,4,296
564,Brianza,Serie A,ITA,Defender,"2,711,000",30,277,3,280
565,Rennes,Ligue 1 Uber Eats,FRA,Forward,"2,690,000",25,168,0,168
566,Sevilla,La Liga,ARG,Forward,"2,690,000",30,298,25,323
567,Rennes,Ligue 1 Uber Eats,FRA,Goalkeeper,"2,682,000",37,551,34,585
568,Vigo,La Liga,ESP,Midfilder,"2,621,000",24,128,0,128
569,Spezia,Serie A,UKR,Midfilder,"2,621,000",26,159,33,192
570,Real Hispalis,La Liga,BRA,Forward,"2,600,000",30,357,0,357
571,Fulham,Premier League,WAL,Midfilder,"2,600,000",24,117,36,153
572,Man UFC,Premier League,ENG,Defender,"2,600,000",22,47,0,47
573,Nottm Forest,Premier League,ENG,Defender,"2,600,000",24,104,0,104
574,Brentford,Premier League,ENG,Defender,"2,600,000",32,372,0,372
575,Fulham,Premier League,BRA,Midfilder,"2,600,000",26,167,1,168
576,Southampton,Premier League,ENG,Defender,"2,600,000",25,91,2,93
577,Brianza,Serie A,ESP,Defender,"2,600,000",29,264,0,264
578,Nottm Forest,Premier League,CIV,Defender,"2,600,000",31,268,13,281
579,Man UFC,Premier League,NED,Defender,"2,600,000",23,104,5,109
580,Nottm Forest,Premier League,ENG,Midfilder,"2,600,000",22,111,0,111
581,Brighton,Premier League,ENG,Forward,"2,600,000",31,288,42,330
582,Crystal Palace,Premier League,ENG,Defender,"2,600,000",33,330,0,330
583,Fulham,Premier League,ENG,Defender,"2,600,000",24,143,0,143
584,Southampton,Premier League,SCO,Forward,"2,600,000",26,342,19,361
585,Wolves,Premier League,GAB,Midfilder,"2,600,000",29,220,25,245
586,West Ham,Premier League,CZE,Midfilder,"2,600,000",27,234,52,286
587,Southampton,Premier League,NGA,Forward,"2,600,000",28,261,15,276
588,Arsenal,Premier League,ENG,Forward,"2,600,000",21,103,18,121
589,Crystal Palace,Premier League,FRA,Forward,"2,600,000",25,167,0,167
590,Crystal Palace,Premier League,BEL,Midfilder,"2,600,000",22,95,1,96
591,Newcastle,Premier League,NIR,Defender,"2,600,000",24,124,26,150
592,West Ham,Premier League,ENG,Defender,"2,600,000",32,465,3,468
593,Juventus,Serie A,ITA,Forward,"2,600,000",22,126,12,138
594,Chelsea,Premier League,SEN,Goalkeeper,"2,600,000",30,209,25,234
595,Wolves,Premier League,POR,Forward,"2,600,000",26,226,1,227
596,Southampton,Premier League,MLI,Midfilder,"2,600,000",24,113,29,142
597,Crystal Palace,Premier League,ENG,Midfilder,"2,600,000",27,295,0,295
598,Southampton,Premier League,ENG,Goalkeeper,"2,600,000",32,269,1,270
599,Everton,Premier League,FRA,Forward,"2,600,000",26,276,0,276
600,Aston Villa,Premier League,ENG,Defender,"2,600,000",27,166,3,169
601,Newcastle,Premier League,ENG,Defender,"2,600,000",30,325,0,325
602,Brighton,Premier League,NED,Defender,"2,600,000",30,252,28,280
603,Leicester,Premier League,SEN,Midfilder,"2,600,000",30,283,17,300
604,Chelsea,Premier League,BRA,Midfilder,"2,600,000",18,34,0,34
605,Southampton,Premier League,GHA,Midfilder,"2,600,000",20,76,11,87
606,Tottenham,Premier League,ENG,Midfilder,"2,600,000",21,84,0,84
607,Southampton,Premier League,BRA,Defender,"2,600,000",25,97,0,97
608,Southampton,Premier League,CRO,Defender,"2,600,000",25,238,23,261
609,Udinese,Serie A,ITA,Defender,"2,600,000",19,44,0,44
610,Brentford,Premier League,DEN,Midfilder,"2,600,000",22,136,16,152
611,Everton,Premier League,UKR,Defender,"2,600,000",23,108,27,135
612,Southampton,Premier League,ARG,Midfilder,"2,600,000",19,64,0,64
613,Arsenal,Premier League,EGY,Midfilder,"2,600,000",30,236,92,328
614,Southampton,Premier League,ENG,Forward,"2,600,000",25,292,0,292
615,Leicester,Premier League,DEN,Defender,"2,600,000",19,51,0,51
616,Crystal Palace,Premier League,USA,Defender,"2,600,000",22,77,8,85
617,Chelsea,Premier League,SUI,Midfilder,"2,592,000",25,196,40,236
618,Barcelona,La Liga,ESP,Defender,"2,586,000",21,46,17,63
619,Hoffenheim,Bundesliga,GER,Goalkeeper,"2,586,000",32,420,0,420
620,Real San Sebastian,La Liga,NOR,Forward,"2,586,000",26,226,42,268
621,Bayer 04,Bundesliga,GER,Midfilder,"2,586,000",25,213,5,218
622,Getafe,La Liga,FRA,Defender,"2,579,000",28,205,0,205
623,PSG,Ligue 1 Uber Eats,FRA,Defender,"2,579,000",24,184,1,185
624,VfL Wolfsburg,Bundesliga,SWE,Midfilder,"2,579,000",23,160,21,181
625,Borussia M'gladbach,Bundesliga,SUI,Defender,"2,579,000",25,253,38,291
626,VfL Wolfsburg,Bundesliga,BEL,Defender,"2,579,000",23,104,2,106
627,Bayer 04,Bundesliga,BFA,Defender,"2,579,000",23,118,29,147
628,FC Porto,Primiera Liga,POR,Defender,"2,579,000",39,495,128,623
629,OL,Ligue 1 Uber Eats,FRA,Midfilder,"2,579,000",22,74,0,74
630,Hoffenheim,Bundesliga,ESP,Defender,"2,579,000",25,179,0,179
631,Bayer 04,Bundesliga,FRA,Midfilder,"2,579,000",23,125,8,133
632,Hertha Berlin,Bundesliga,BEL,Midfilder,"2,579,000",24,160,4,164
633,Borussia M'gladbach,Bundesliga,GER,Midfilder,"2,579,000",25,174,10,184
634,Borussia M'gladbach,Bundesliga,ALG,Defender,"2,579,000",27,196,48,244
635,RB Leipzig,Bundesliga,FRA,Defender,"2,579,000",22,73,0,73
636,Sevilla,La Liga,MAR,Forward,"2,578,000",25,178,48,226
637,1. FC Koln,Bundesliga,GER,Defender,"2,578,000",32,414,43,457
638,RB Leipzig,Bundesliga,GER,Defender,"2,578,000",30,299,9,308
639,RB Leipzig,Bundesliga,AUT,Defender,"2,578,000",25,192,24,216
640,Hoffenheim,Bundesliga,DEN,Forward,"2,578,000",24,160,35,195
641,Borussia Dortmund,Bundesliga,ENG,Midfilder,"2,555,000",19,108,15,123
642,Fiorentina,Serie A,ITA,Midfilder,"2,552,000",25,183,1,184
643,Torino,Serie A,PAR,Forward,"2,552,000",26,196,29,225
644,Inter,Serie A,ITA,Defender,"2,552,000",24,141,4,145
645,Atalanta,Serie A,ARG,Goalkeeper,"2,552,000",28,162,2,164
646,Villarreal,La Liga,ESP,Defender,"2,550,000",25,205,19,224
647,OM,Ligue 1 Uber Eats,FRA,Midfilder,"2,494,000",27,206,0,206
648,Bayer 04,Bundesliga,ECU,Defender,"2,472,000",20,47,24,71
649,Real Hispalis,La Liga,ESP,Defender,"2,466,000",31,252,0,252
650,Tottenham,Premier League,NED,Midfilder,"2,466,000",25,134,6,140
651,Real San Sebastian,La Liga,ESP,Midfilder,"2,466,000",32,354,3,357
652,Borussia Dortmund,Bundesliga,GER,Defender,"2,466,000",22,94,4,98
653,Valladolid,La Liga,ESP,Midfilder,"2,466,000",33,408,0,408
654,Lazio,Serie A,BRA,Forward,"2,431,000",29,308,2,310
655,Milan,Serie A,BEL,Forward,"2,431,000",21,94,8,102
656,Capitoline,Serie A,ESP,Defender,"2,418,000",29,273,10,283
657,Juventus,Serie A,ITA,Goalkeeper,"2,397,000",29,269,2,271
658,Juventus,Serie A,ITA,Defender,"2,397,000",29,206,39,245
659,Inter,Serie A,ITA,Midfilder,"2,397,000",28,201,7,208
660,Torino,Serie A,SUI,Defender,"2,397,000",30,336,98,434
661,Atalanta,Serie A,CIV,Forward,"2,397,000",25,202,10,212
662,Lazio,Serie A,ITA,Defender,"2,397,000",28,383,2,385
663,Fiorentina,Serie A,ITA,Midfilder,"2,397,000",33,376,14,390
664,Parthenope,Serie A,ITA,Goalkeeper,"2,397,000",25,112,2,114
665,PSG,Ligue 1 Uber Eats,ESP,Midfilder,"2,392,000",26,206,15,221
666,Torino,Serie A,RUS,Midfilder,"2,392,000",26,218,41,259
667,Empoli,Serie A,CRO,Forward,"2,392,000",27,218,24,242
668,Parthenope,Serie A,ARG,Forward,"2,392,000",27,277,5,282
669,Villarreal,La Liga,ESP,Midfilder,"2,381,000",33,478,4,482
670,OM,Ligue 1 Uber Eats,COD,Defender,"2,376,000",28,212,66,278
671,Borussia M'gladbach,Bundesliga,GER,Midfilder,"2,364,000",31,321,12,333
672,Hoffenheim,Bundesliga,TUR,Defender,"2,364,000",22,93,17,110
673,Brentford,Premier League,ENG,Forward,"2,340,000",26,305,0,305
674,Leeds,Premier League,DEN,Defender,"2,340,000",25,162,8,170
675,Aston Villa,Premier League,ENG,Forward,"2,340,000",26,298,7,305
676,Newcastle,Premier League,SCO,Defender,"2,340,000",32,469,16,485
677,Brighton,Premier League,ENG,Defender,"2,340,000",28,224,0,224
678,Bournemouth,Premier League,COL,Midfilder,"2,340,000",27,319,33,352
679,Newcastle,Premier League,SUI,Defender,"2,340,000",30,276,71,347
680,Newcastle,Premier League,SVK,Goalkeeper,"2,340,000",33,331,29,360
681,Man City,Premier League,ARG,Midfilder,"2,340,000",19,22,0,22
682,Rennes,Ligue 1 Uber Eats,ENG,Defender,"2,340,000",22,107,0,107
683,Nottm Forest,Premier League,SUI,Midfilder,"2,340,000",30,375,46,421
684,Bournemouth,Premier League,ENG,Defender,"2,340,000",28,193,0,193
685,Brighton,Premier League,GHA,Defender,"2,340,000",21,56,0,56
686,Crystal Palace,Premier League,MLI,Midfilder,"2,340,000",22,122,8,130
687,Brentford,Premier League,DEN,Midfilder,"2,340,000",26,191,19,210
688,Crystal Palace,Premier League,ENG,Defender,"2,340,000",22,92,3,95
689,Girona,La Liga,ESP,Midfilder,"2,340,000",30,326,0,326
690,Nottm Forest,Premier League,BEL,Midfilder,"2,340,000",24,131,2,133
691,Bournemouth,Premier League,GHA,Forward,"2,340,000",22,124,1,125
692,Crystal Palace,Premier League,FRA,Forward,"2,340,000",20,100,0,100
